movie_id	binary_answers	q_0	q_1	q_2	q_3	q_4	q_5	q_6	q_7	q_8	q_9	q_10	q_11	q_12	q_13	q_14	q_15	q_16	q_17	q_18	q_19
6631279	01001000000001111000	0	1	0	0	1	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0
21926710	00000001000001000100	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0
26067101	01000000001000001000	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0
12053509	01000000000111011000	0	1	0	0	0	0	0	0	0	0	0	1	1	1	0	1	1	0	0	0
7028314	00010011010001001000	0	0	0	1	0	0	1	1	0	1	0	0	0	1	0	0	1	0	0	0
5894429	10100000111000001011	1	0	1	0	0	0	0	0	1	1	1	0	0	0	0	0	1	0	1	1
24282217	10110010011000100010	1	0	1	1	0	0	1	0	0	1	1	0	0	0	1	0	0	0	1	0
1072373	01000010001100000010	0	1	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	1	0
336846	10001000100011000000	1	0	0	0	1	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0
15007384	10110110000001000101	1	0	1	1	0	1	1	0	0	0	0	0	0	1	0	0	0	1	0	1
3033993	11000000000000100000	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
4459059	01000001001001001000	0	1	0	0	0	0	0	1	0	0	1	0	0	1	0	0	1	0	0	0
4069274	10000000010011000000	1	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0
5685826	00100100000000000010	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0
20553214	00110010001001001010	0	0	1	1	0	0	1	0	0	0	1	0	0	1	0	0	1	0	1	0
21236198	10000000100001001010	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	1	0
9105523	01000011100000101001	0	1	0	0	0	0	1	1	1	0	0	0	0	0	1	0	1	0	0	1
17594419	10100010010000001000	1	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0
1858682	01000001000000001000	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
7235116	00001100110000010010	0	0	0	0	1	1	0	0	1	1	0	0	0	0	0	1	0	0	1	0
5254729	22200000001000000110	2	2	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0
19168185	10100010010000001010	1	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	1	0
24291753	10000000011000011010	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	1	0	1	0
27504492	10000010000000010100	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0
4783144	00100001010000001001	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	1
15858518	10111100011001001010	1	0	1	1	1	1	0	0	0	1	1	0	0	1	0	0	1	0	1	0
10366326	10000001100100010010	1	0	0	0	0	0	0	1	1	0	0	1	0	0	0	1	0	0	1	0
7731853	10010001110000101001	1	0	0	1	0	0	0	1	1	1	0	0	0	0	1	0	1	0	0	1
12091274	01001001011001000011	0	1	0	0	1	0	0	1	0	1	1	0	0	1	0	0	0	0	1	1
24021571	00111110010001100110	0	0	1	1	1	1	1	0	0	1	0	0	0	1	1	0	0	1	1	0
33773022	00110010010000100010	0	0	1	1	0	0	1	0	0	1	0	0	0	0	1	0	0	0	1	0
19087098	01000000000000001010	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0
21209475	00000000100010000001	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1
1307956	10011001000010000010	1	0	0	1	1	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0
2216254	01000000010111000001	0	1	0	0	0	0	0	0	0	1	0	1	1	1	0	0	0	0	0	1
26687336	00000000011001000000	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0
1094668	00000001001001000010	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	1	0
6721185	00100110000011000100	0	0	1	0	0	1	1	0	0	0	0	0	1	1	0	0	0	1	0	0
5363369	00010001101000000000	0	0	0	1	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0
6488515	10001001000010010011	1	0	0	0	1	0	0	1	0	0	0	0	1	0	0	1	0	0	1	1
6973699	10000001010100101111	1	0	0	0	0	0	0	1	0	1	0	1	0	0	1	0	1	1	1	1
12632216	10010000000000100001	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
7154611	01001100000001001000	0	1	0	0	1	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0
24207129	00010010000000000001	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
9889964	11000100011001100000	1	1	0	0	0	1	0	0	0	1	1	0	0	1	1	0	0	0	0	0
28388755	00100001100000011010	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	1	1	0	1	0
15670779	00110001000001011011	0	0	1	1	0	0	0	1	0	0	0	0	0	1	0	1	1	0	1	1
29004995	10011001111000001001	1	0	0	1	1	0	0	1	1	1	1	0	0	0	0	0	1	0	0	1
399402	00110011011001000010	0	0	1	1	0	0	1	1	0	1	1	0	0	1	0	0	0	0	1	0
22224559	11001011011001001001	1	1	0	0	1	0	1	1	0	1	1	0	0	1	0	0	1	0	0	1
4836072	01000010001001000000	0	1	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0
736262	00000010000001000010	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0
249406	01100010011000001000	0	1	1	0	0	0	1	0	0	1	1	0	0	0	0	0	1	0	0	0
168571	01000010001100001001	0	1	0	0	0	0	1	0	0	0	1	1	0	0	0	0	1	0	0	1
11144406	10001000011000000100	1	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0
1231856	00000011000001000011	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	1	1
161877	00101001000010001100	0	0	1	0	1	0	0	1	0	0	0	0	1	0	0	0	1	1	0	0
24813200	10010010010001000100	1	0	0	1	0	0	1	0	0	1	0	0	0	1	0	0	0	1	0	0
10858701	10011010011000000110	1	0	0	1	1	0	1	0	0	1	1	0	0	0	0	0	0	1	1	0
1273572	10101001000010100010	1	0	1	0	1	0	0	1	0	0	0	0	1	0	1	0	0	0	1	0
16791614	00010010001000011001	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	1	1	0	0	1
23467297	01000010000001001000	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0
3028248	10010100000100010100	1	0	0	1	0	1	0	0	0	0	0	1	0	0	0	1	0	1	0	0
508985	00100010111001001002	0	0	1	0	0	0	1	0	1	1	1	0	0	1	0	0	1	0	0	2
6887098	10000110010100001000	1	0	0	0	0	1	1	0	0	1	0	1	0	0	0	0	1	0	0	0
1871167	01000000101000001010	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	1	0
12180811	10001111000100001001	1	0	0	0	1	1	1	1	0	0	0	1	0	0	0	0	1	0	0	1
28903478	00001001111011100000	0	0	0	0	1	0	0	1	1	1	1	0	1	1	1	0	0	0	0	0
5566878	10111000100011001010	1	0	1	1	1	0	0	0	1	0	0	0	1	1	0	0	1	0	1	0
3645284	00101001000010001000	0	0	1	0	1	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0
570743	10000000000100001000	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
13289421	01000001001000000010	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0
4026639	11010011011011011001	1	1	0	1	0	0	1	1	0	1	1	0	1	1	0	1	1	0	0	1
6581470	10100001001100010010	1	0	1	0	0	0	0	1	0	0	1	1	0	0	0	1	0	0	1	0
5501445	10000000010001001000	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0
1597728	10101011110001011010	1	0	1	0	1	0	1	1	1	1	0	0	0	1	0	1	1	0	1	0
7024876	00001000010000001010	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0
